number,name,home_state,party,vice_president,age,birthdate,accession_date
1,George Washington,VA,,John Adams,57,1732-02-22,1789-04-30
2,John Adams,MA,Federalist,Thomas Jefferson,61,1735-10-30,1797-03-04
3,Thomas Jefferson,VA,Democratic-Republican,Aaron Burr,57,1743-04-13,1801-03-04
4,James Madison,VA,Democratic-Republican,George Clinton,57,1751-03-16,1809-03-04
5,James Monroe,VA,Democratic-Republican,Daniel D. Tompkins,58,1758-04-28,1817-03-04
6,John Quincy Adams,MA,Democratic-Republican,John C. Calhoun,57,1767-07-11,1825-03-04
7,Andrew Jackson,TN,Democratic,John C. Calhoun,61,1767-03-15,1829-03-04
8,Martin Van Buren,NY,Democratic,Richard Mentor Johnson,54,1782-12-05,1837-03-04
9,William Henry Harrison,OH,Whig,John Tyler,68,1773-02-09,1841-03-04
10,John Tyler,VA,Whig,,51,1790-03-29,1841-04-04
11,James K. Polk,TN,Democratic,George M. Dallas,49,1795-11-02,1845-03-04
12,Zachary Taylor,KY,Whig,Millard Fillmore,64,1784-11-24,1849-03-04
13,Millard Fillmore,NY,Whig,,50,1800-01-07,1850-07-09
14,Franklin Pierce,NH,Democratic,William R. King,48,1804-11-23,1853-03-04
15,James Buchanan,PA,Democratic,John C. Breckinridge,65,1791-04-23,1857-03-04
16,Abraham Lincoln,IL,Republican,Hannibal Hamlin,52,1809-02-12,1861-03-04
17,Andrew Johnson,TN,Democratic,,56,1808-12-29,1865-04-15
18,Ulysses S. Grant,IL,Republican,Schuyler Colfax,46,1822-04-27,1869-03-04
19,Rutherford B. Hayes,OH,Republican,William A. Wheeler,54,1822-10-04,1877-03-04
20,James A. Garfield,OH,Republican,Chester A. Arthur,49,1831-11-19,1881-03-04
21,Chester A. Arthur,NY,Republican,,51,1829-10-05,1881-09-19
22,Grover Cleveland,NY,Democratic,Thomas A. Hendricks,47,1837-03-18,1885-03-04
23,Benjamin Harrison,IN,Republican,Levi P. Morton,55,1833-08-20,1889-03-04
24,Grover Cleveland,NY,Democratic,Adlai Stevenson I,55,1837-03-18,1893-03-04
25,William McKinley,OH,Republican,Garret Hobart,54,1843-01-29,1897-03-04
26,Theodore Roosevelt,NY,Republican,Charles W. Fairbanks,42,1858-10-27,1901-09-14
27,William Howard Taft,OH,Republican,James S. Sherman,51,1857-09-15,1909-03-04
28,Woodrow Wilson,NJ,Democratic,Thomas R. Marshall,56,1856-12-28,1913-03-04
29,Warren G. Harding,OH,Republican,Calvin Coolidge,55,1865-11-02,1921-03-04
30,Calvin Coolidge,MA,Republican,Charles G. Dawes,51,1872-07-04,1923-08-02
31,Herbert Hoover,CA,Republican,Charles Curtis,54,1874-08-10,1929-03-04
32,Franklin D. Roosevelt,NY,Democratic,John Nance Garner,51,1882-01-30,1933-03-04
33,Harry S. Truman,MO,Democratic,Alben W. Barkley,60,1884-05-08,1945-04-12
34,Dwight D. Eisenhower,KS,Republican,Richard Nixon,62,1890-10-14,1953-01-20
35,John F. Kennedy,MA,Democratic,Lyndon B. Johnson,43,1917-05-29,1961-01-20
36,Lyndon B. Johnson,TX,Democratic,Hubert Humphrey,55,1908-08-27,1963-11-22
37,Richard Nixon,CA,Republican,Spiro Agnew,56,1913-01-09,1969-01-20
38,Gerald Ford,MI,Republican,Nelson Rockefeller,61,1913-07-14,1974-08-09
39,Jimmy Carter,GA,Democratic,Walter Mondale,52,1924-10-01,1977-01-20
40,Ronald Reagan,CA,Republican,George H. W. Bush,69,1911-02-06,1981-01-20
41,George H. W. Bush,TX,Republican,Dan Quayle,64,1924-06-12,1989-01-20
42,Bill Clinton,AR,Democratic,Al Gore,46,1946-08-19,1993-01-20
43,George W. Bush,TX,Republican,Dick Cheney,54,1946-07-06,2001-01-20
44,Barack Obama,IL,Democratic,Joe Biden,47,1961-08-04,2009-01-20
45,Donald Trump,NY,Republican,Mike Pence,70,1946-06-14,2017-01-20
46,Joe Biden,DE,Democratic,Kamala Harris,78,1942-11-20,2021-01-20
